Timestamp,Reading newspapers and magazines,"Domestic chores (cooking, washing, grocery shopping, ironing, etc.)",Driving (not biking),"Leisure activities (sports, hunting, dancing, chess, coin collecting, etc.)","Using new technologies (digital cameras, computer, Internet, etc.)","Social activities (political parties, recreational clubs, associations, etc.)","Cinema, theater","Gardening, DIY, small-scale operations such as knitting, etc.",Looking after grandchildren/nieces/nephews or elderly parents,Voluntary work,"Artistic activities (music, singing, performance, painting, writing, etc.)","Exhibitions, concerts, conferences",Journeys lasting several days,Reading books,Children,Pet care,Managing one's current account
8/27/2020 19:41:11,1,1,3,1,2,2,2,1,2,2,3,4,3,3,2,2,2
8/27/2020 19:42:21,2,1,2,3,1,3,2,1,2,2,3,4,3,3,2,2,2
8/27/2020 19:44:57,2,1,1,3,3,3,1,1,1,3,3,2,3,3,1,1,1
8/27/2020 19:48:28,2,2,4,2,3,2,3,2,4,4,3,3,4,3,3,2,3
8/27/2020 19:49:31,4,1,3,2,2,3,2,2,3,2,3,2,3,3,4,2,3
8/27/2020 19:52:44,3,2,2,3,2,4,2,2,4,3,4,2,2,3,3,2,3
8/27/2020 19:58:40,3,2,2,2,3,2,3,2,3,3,3,2,3,3,3,2,2
8/27/2020 20:12:06,1,3,1,3,1,4,1,2,4,3,3,3,2,2,4,2,3
8/27/2020 20:38:56,3,1,4,3,2,3,2,1,3,4,2,3,3,3,3,2,4
8/27/2020 20:57:23,2,2,2,3,2,3,2,3,4,4,3,3,4,3,4,3,1
8/27/2020 21:35:37,3,1,4,2,2,4,2,1,4,2,3,3,3,3,4,4,2
8/27/2020 22:03:41,2,1,3,2,2,1,1,3,3,2,1,3,3,3,3,2,2
8/27/2020 22:08:18,3,1,2,1,3,1,1,1,2,2,3,1,1,2,2,1,3
8/27/2020 22:11:55,3,1,3,3,2,3,2,2,3,2,3,3,4,3,4,3,4
8/27/2020 22:15:55,3,2,3,3,3,2,2,1,2,3,3,3,4,3,4,1,3
8/27/2020 23:32:49,1,1,1,2,2,4,1,1,3,2,3,4,2,1,3,2,2
8/28/2020 2:35:12,1,1,2,3,2,4,2,2,4,4,3,3,3,2,4,3,3
8/28/2020 7:45:44,3,1,3,1,2,1,3,1,2,2,1,3,2,3,2,1,1
8/28/2020 7:55:37,2,1,2,2,2,2,1,2,2,2,2,2,2,2,4,2,2
8/28/2020 8:38:12,4,1,4,3,4,3,2,2,3,3,3,3,3,4,3,2,3
8/28/2020 8:47:27,4,1,4,3,4,3,2,2,3,3,3,3,3,4,3,2,3
8/28/2020 9:51:58,1,1,4,2,3,2,3,2,3,2,3,2,3,3,4,3,3
8/28/2020 17:46:55,3,1,4,2,2,3,1,2,3,3,2,3,4,3,3,2,2
8/28/2020 19:33:18,1,1,3,3,2,3,2,2,4,2,3,2,3,2,4,3,2
8/28/2020 19:43:57,3,1,2,2,2,4,1,2,4,1,4,3,2,3,4,1,2
8/28/2020 19:46:30,3,2,4,3,3,4,3,2,4,3,4,4,2,3,4,2,2
8/28/2020 19:53:31,2,1,3,2,1,3,2,3,2,3,4,2,4,3,4,3,1
8/28/2020 19:53:46,4,4,3,3,3,4,3,3,4,3,4,2,4,4,4,4,3
8/28/2020 20:06:38,1,2,3,4,1,2,2,2,3,1,2,3,3,1,4,1,2
8/28/2020 20:09:07,2,1,4,2,3,2,3,3,3,3,4,3,3,4,4,2,2
8/28/2020 20:16:56,1,3,3,3,3,3,3,3,4,3,2,2,4,2,2,3,2
8/28/2020 20:19:43,2,4,2,3,2,4,1,3,4,3,3,3,3,1,4,3,2
8/28/2020 20:21:32,2,3,1,3,2,3,3,2,3,4,2,2,3,2,4,2,1
8/28/2020 20:45:10,2,3,1,3,4,3,1,2,3,3,4,2,3,3,4,1,2
8/28/2020 21:03:53,1,3,3,3,3,4,2,4,4,4,3,3,4,4,4,4,2
8/28/2020 21:21:50,1,4,2,2,2,3,1,1,3,2,3,3,3,1,3,2,2
8/28/2020 21:30:51,3,4,4,2,4,4,2,3,2,3,3,3,2,3,3,2,4
8/28/2020 21:42:28,1,1,4,1,1,4,2,1,3,2,3,2,4,3,4,2,2
8/28/2020 21:43:47,3,2,4,3,4,4,3,2,4,3,3,3,4,3,3,4,4
8/28/2020 22:01:05,3,2,3,3,3,3,2,1,4,4,2,3,4,4,4,1,3
8/28/2020 22:26:43,2,1,2,2,3,3,1,1,1,1,1,1,2,4,4,3,3
8/28/2020 22:52:40,1,2,3,2,3,4,1,1,3,3,3,2,4,3,3,2,2
8/28/2020 23:10:27,3,2,3,2,4,3,2,2,2,2,3,4,1,3,3,2,3
8/28/2020 23:35:55,2,2,3,1,2,3,2,1,4,2,3,2,2,3,4,3,4
8/29/2020 0:26:02,3,1,2,3,4,3,1,2,2,2,4,1,2,4,4,2,3
8/29/2020 0:34:25,2,1,4,2,2,4,3,2,4,2,4,1,3,2,4,3,3
8/29/2020 0:37:07,2,1,3,2,2,2,1,2,4,3,2,3,4,2,4,3,2
8/29/2020 0:39:59,2,4,3,3,3,3,3,3,4,4,3,3,4,3,4,4,4
8/29/2020 0:44:36,1,2,2,1,3,2,2,2,3,2,3,2,2,1,4,2,2
8/29/2020 1:03:53,1,1,2,2,4,1,1,1,2,2,2,1,3,1,1,3,2
8/29/2020 1:12:10,1,3,4,3,3,2,1,3,4,3,3,2,4,2,4,4,3
8/29/2020 1:24:15,2,3,3,3,2,3,2,3,4,3,3,3,3,2,4,2,3
8/29/2020 2:08:11,1,2,2,2,4,3,1,4,4,3,4,3,4,2,4,2,2
8/29/2020 3:31:25,2,2,4,2,4,2,1,2,4,3,3,2,3,3,4,1,3
8/29/2020 3:54:23,2,4,3,3,4,4,1,3,4,3,2,3,3,2,4,4,3
8/29/2020 3:56:04,2,3,2,2,3,2,2,3,2,2,3,4,4,2,2,4,3
8/29/2020 4:19:34,3,2,3,4,3,3,2,3,3,3,3,2,3,4,3,2,4
8/29/2020 4:40:24,2,1,4,2,3,2,1,2,3,2,3,1,2,3,4,1,3
8/29/2020 4:41:26,1,1,3,1,1,2,2,2,4,1,4,1,3,1,4,2,2
8/29/2020 7:30:08,2,2,3,2,2,3,1,3,3,3,3,2,3,3,4,3,4
8/29/2020 7:33:39,3,2,3,3,3,2,1,2,2,3,4,3,3,3,3,2,4
8/29/2020 7:38:26,3,1,2,2,2,1,1,1,4,2,3,1,2,3,4,2,2
8/29/2020 9:17:32,2,1,3,2,3,3,1,1,4,1,2,2,3,4,4,2,1
8/29/2020 9:51:44,2,2,1,2,2,3,4,1,3,3,4,4,1,4,4,3,2
8/29/2020 10:48:06,3,2,3,2,4,1,2,4,4,3,3,2,3,3,4,4,4
8/29/2020 12:05:47,2,2,2,2,2,3,2,2,2,2,4,3,2,3,3,1,2
8/29/2020 12:32:31,2,2,2,2,2,2,1,2,3,3,2,1,3,3,3,1,3
8/29/2020 12:34:41,2,2,1,3,2,2,1,3,4,2,3,3,3,2,4,2,1
8/29/2020 12:35:00,2,1,2,3,2,2,1,1,3,3,2,2,4,3,4,1,4
8/29/2020 13:35:29,2,2,1,3,3,2,4,2,3,2,4,3,4,2,4,4,2
8/29/2020 14:33:02,3,1,2,3,3,1,2,2,3,2,3,4,2,4,2,1,3
8/29/2020 14:39:56,4,3,3,3,4,2,1,2,3,3,3,3,3,4,3,2,4
8/29/2020 14:49:20,3,3,4,2,4,3,1,2,4,2,2,1,1,3,4,1,4
8/29/2020 14:53:34,3,1,1,2,4,1,1,1,4,3,2,3,4,2,4,2,3
8/29/2020 15:04:59,3,2,4,3,4,4,2,3,3,3,3,2,3,4,4,2,4
8/29/2020 15:24:43,2,2,3,1,3,2,2,2,2,3,2,3,3,2,4,1,3
8/29/2020 15:36:17,1,2,4,4,4,3,1,2,4,3,4,3,2,1,4,4,4
8/29/2020 16:24:59,2,2,4,4,1,4,3,1,3,3,3,4,3,3,3,2,2